,time_simulation,P_104 [L/s],Mix_TK100,Mix_R101,Csus_R101,x_R101,SV_p,SV_gl,molCH4_acum_V101,molCO2_acum_V101,molO2_acum_V101,molH2S_acum_V101,molNH3_acum_V101,molH2O_acum_V101,biogas_acum_V101,Pacum_V101,Pstorage_V101,x_CH4_V101,x_CO2_V101,x_O2_V101,x_NH3_V101,x_H2S_V101,RH_V101,molCH4_acum_V102,molCO2_acum_V102,molO2_acum_V102,molH2S_acum_V102,molNH3_acum_V102,molH2O_acum_V102,biogas_acum_V102,Pacum_V102,Pstorage_V102,x_CH4_V102,x_CO2_V102,x_O2_V102,x_NH3_V102,x_H2S_V102,RH_V102,molCH4_acum_V107,molCO2_acum_V107,molO2_acum_V107,molH2S_acum_V107,molNH3_acum_V107,molH2O_acum_V107,biogas_acum_V107,Pacum_V107,Pstorage_V107,x_CH4_V107,x_CO2_V107,x_O2_V107,x_NH3_V107,x_H2S_V107,RH_V107
34,126000,0.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.4025504499351986,2.4025504499351986,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,50.36809605419968,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
35,129600,0.0,50,50,0.00280486545272078,0.9056732662288416,0.009432673377115834,9.304860652855915,0.14532800014729927,0.09413290918631885,0.009796484321977252,0.0,0.014863090924155609,0.0035619716310967605,0.2676824562108478,2.392587543116727,2.392587543116727,55.02337328304332,35.64013951288033,3.7090967546741758,5627.390449402158,0.0,54.21908157462415,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
36,133200,18.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.791214292336904,2.791214292336904,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,49.995373103730515,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
37,136800,0.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.8126317849651694,2.8126317849651694,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,43.72456413773314,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
38,140400,0.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.789637078282118,2.789637078282118,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,50.496023041515436,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
39,144000,0.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.8098433977591037,2.8098433977591037,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,44.48819965325931,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
40,147600,0.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.790574126070421,2.790574126070421,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,50.197898401913875,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
41,151200,0.0,50,50,0.0030706844198633647,0.8967338588427723,0.01032661411572277,10.186688494454726,0.16872006925584673,0.10928459031344619,0.01106350667525833,0.0,0.017255461628438874,0.004132045344200578,0.31045567321719075,2.7861307717676205,2.7861307717676205,55.07902554803984,35.67618700270763,3.611705290930267,5633.082158322257,0.0,51.62948183391646,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
42,154800,18.0,50,50,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.16818979986843,3.16818979986843,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,51.5006717364771,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
43,158400,0.0,50,50,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.161305914811595,3.161305914811595,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,53.51765353817973,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
44,162000,0.0,50,50,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.187683909754723,3.187683909754723,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,46.24031718945844,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
45,165600,0.0,0,0,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.178857700689836,3.178857700689836,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,48.54268053276435,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
46,169200,0.0,0,0,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.174718579890626,3.174718579890626,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,49.66691824801138,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
47,172800,0.0,0,0,0.003333876302245638,0.8878827994822882,0.011211720051771179,11.05980124506968,0.1918809549054868,0.12428652760923578,0.01245352528532741,0.0,0.019624188569879335,0.004621113498373877,0.3528663098683032,3.1609786898533434,3.1609786898533434,55.09938310869277,35.68937314994873,3.576079559787651,5635.164181570853,0.0,53.61573357674017,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
48,176400,18.0,0,0,0.003594464156516161,0.8791193127596258,0.012088068724037419,11.924275392826713,0.2148126860812928,0.1391400353026556,0.013510434709751785,0.0,0.02196947925831404,0.005221385867297767,0.394654021219312,3.550358776659463,3.550358776659463,55.16042226073844,35.728909873432855,3.469261043707724,5641.406822120978,0.0,51.325149889795455,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
49,180000,0.0,0,0,0.003594464156516161,0.8791193127596258,0.012088068724037419,11.924275392826713,0.2148126860812928,0.1391400353026556,0.013510434709751785,0.0,0.02196947925831404,0.005221385867297767,0.394654021219312,3.551695375824321,3.551695375824321,55.16042226073844,35.728909873432855,3.469261043707724,5641.406822120978,0.0,50.98687252429169,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
